timestamp_ms,row,column,grip_force_N
0,0,0,2.171042508710717
0,0,1,3.9052165341139315
0,0,2,2.174710240345524
0,0,3,3.9146283224541567
0,0,4,2.5789141033100913
0,0,5,3.015515019372346
0,0,6,1.1453188952369684
0,0,7,2.7774349058049808
0,0,8,3.393342870167586
0,0,9,2.310433347309843
0,1,0,6.906080426871473
0,1,1,2.5891172999259218
0,1,2,3.212716848318511
0,1,3,3.5384667100410843
0,1,4,4.993602177494164
0,1,5,4.457455768534966
0,1,6,3.9177294926841304
0,1,7,2.294755541522096
0,1,8,3.7786489618381736
0,1,9,2.3933166315581524
0,2,0,1.1238571288797503
0,2,1,1.4163893733125457
0,2,2,0.7914252331552104
0,2,3,2.2706214111669
0,2,4,0.26305213598044414
0,2,5,0.29323112337521084
0,2,6,0.24910971277839872
0,2,7,0.5239127309879444
0,2,8,1.3816358902393027
0,2,9,0.8022233433637191
0,3,0,0.4694899591982335
0,3,1,0.7004637516897682
0,3,2,0.4286289816108807
0,3,3,0.3390658369625458
0,3,4,1.4163893733125457
0,3,5,0.8799928701148211
0,3,6,0.5266425185254424
0,3,7,0.7593511667292147
0,3,8,1.9559956524622846
0,3,9,1.2708241639263906
5,0,0,2.0804737754890694
5,0,1,3.7423037799730765
5,0,2,2.0839885014564934
5,0,3,3.751322939544448
5,0,4,2.4713303123492487
5,0,5,2.88971767813208
5,0,6,1.0975399682651374
5,0,7,2.661569481698786
5,0,8,3.25178379709338
5,0,9,2.2140496880220426
5,1,0,6.617981528172336
5,1,1,2.481107865253084
5,1,2,3.0786928971592817
5,1,3,3.3908535489953753
5,1,4,4.785285563879312
5,1,5,4.2715054148555796
5,1,6,3.7542947391802914
5,1,7,2.19902590858532
5,1,8,3.6210161893844406
5,1,9,2.293475355006065
5,2,0,1.0769735160180178
5,2,1,1.3573022800037642
5,2,2,0.7584095826007303
5,2,3,2.175898574552585
5,2,4,0.2520784684306799
5,2,5,0.2809984880036331
5,2,6,0.2387176771415901
5,2,7,0.5020568197499601
5,2,8,1.3239985976250517
5,2,9,0.7687572312642215
5,3,0,0.4499043865094156
5,3,1,0.6712427141450452
5,3,2,0.41074799414480107
5,3,3,0.32492112850602084
5,3,4,1.3573022800037642
5,3,5,0.8432824698483097
5,3,6,0.5046727295544133
5,3,7,0.727673540443635
5,3,8,1.8743979648445686
5,3,9,1.217809571069513
10,0,0,2.2690104359294434
10,0,1,4.081438771887911
10,0,2,2.2728436733359767
10,0,3,4.091275265590383
10,0,4,2.69528716747753
10,0,5,3.1515896262764196
10,0,6,1.1970012173106344
10,0,7,2.90276618771905
10,0,8,3.546466895145881
10,0,9,2.414691262622328
10,1,0,7.217716141930869
10,1,1,2.70595078162063
10,1,2,3.3576901545101765
10,1,3,3.6981394238291947
10,1,4,5.218937633949385
10,1,5,4.658597708667611
10,1,6,4.094516375604199
10,1,7,2.398305998491319
10,1,8,3.9491598592495354
10,1,9,2.5013146411001648
10,2,0,1.1745709923644971
10,2,1,1.480303705013247
10,2,2,0.8271381633856077
10,2,3,2.3730828195722937
10,2,4,0.27492231927214145
10,2,5,0.30646312838562756
10,2,6,0.26035074657346924
10,2,7,0.5475542046543772
10,2,8,1.4439819768749462
10,2,9,0.8384235364969672
10,3,0,0.4906756144620585
10,3,1,0.7320720604030094
10,3,2,0.4479707921492789
10,3,3,0.3543661256969333
10,3,4,1.480303705013247
10,3,5,0.9197024000325947
10,3,6,0.5504071733943265
10,3,7,0.7936167601190744
10,3,8,2.044259626544656
10,3,9,1.328169890092422
15,0,0,2.463646485163073
15,0,1,4.431545190602471
15,0,2,2.467808538238662
15,0,3,4.442225460182853
15,0,4,2.926489297499042
15,0,5,3.4219334483897224
15,0,6,1.2996801579518893
15,0,7,3.151765898641565
15,0,8,3.8506833475159206
15,0,9,2.621823834616541
15,1,0,7.836852895164784
15,1,1,2.938067638033216
15,1,2,3.6457133102771158
15,1,3,4.015366368038643
15,1,4,5.6666188725121005
15,1,5,5.0582129059474275
15,1,6,4.445744593090804
15,1,7,2.604033040116165
15,1,8,4.287919373364114
15,1,9,2.7158777792527427
15,2,0,1.2753258650077355
15,2,1,1.607284374756911
15,2,2,0.8980901968106058
15,2,3,2.5766462131961547
15,2,4,0.2985051962928711
15,2,5,0.33275158065549276
15,2,6,0.2826836719429063
15,2,7,0.594523484939567
15,2,8,1.5678469634316878
15,2,9,0.9103436308888699
15,3,0,0.5327658409069882
15,3,1,0.794869309518701
15,3,2,0.4863977926492918
15,3,3,0.38476370412835476
15,3,4,1.607284374756911
15,3,5,0.9985946073043104
15,3,6,0.597621181758038
15,3,7,0.861693322636909
15,3,8,2.2196165182618524
15,3,9,1.442100498795313
20,0,0,2.6628739303649738
20,0,1,4.789910496638683
20,0,2,2.66737255575564
20,0,3,4.801454446473264
20,0,4,3.1631454044781435
20,0,5,3.6986545862150164
20,0,6,1.4047812587014226
20,0,7,3.406639425197575
20,0,8,4.162076159036247
20,0,9,2.8338425911572256
20,1,0,8.470594866721813
20,1,1,3.175660049477342
20,1,2,3.940530831020964
20,1,3,4.340076584326441
20,1,4,6.124860754089818
20,1,5,5.467254885228186
20,1,6,4.805258160737672
20,1,7,2.8146131103202476
20,1,8,4.63467010531035
