time,type
0.1,backhand
1.452333777306301,forehand
2.9869502894256863,forehand
4.645979820296851,forehand
6.012051219633239,backhand
7.55019092944903,forehand
8.922101317374278,forehand
10.542095340992176,serve
12.097258067265955,serve
13.39899101767949,serve
15.247403994326696,backhand
16.36969937031344,forehand
18.01237689101036,forehand
19.42811448066774,serve
21.233817465686315,forehand
22.41665589141337,backhand
24.046974352262744,serve
25.43928920134026,backhand
27.136082743789075,serve
28.60755631104444,backhand
